evidence_id,date,claim,dataset_ids,artifact_type,artifact_path,generator,run_id,metrics_path,sha256,reviewer,status,limitations
ev-20260831-011,2026-08-31,Take02 corrected fusion左右joint median为11.49和11.39mm,ds-20260829-take001,json,outputs/mocap_root_fusion_strict25/02_210955_Take_001_mocap_root_fused_glove_holdout_from_Take_000.metrics.json,gt_calib_viz.py,run-20260831-mocap-root-fusion,outputs/mocap_root_fusion_strict25/02_210955_Take_001_mocap_root_fused_glove_holdout_from_Take_000.metrics.json,57715e21421431d1fcc546fcd76dd4fc42677f86597fbcf4f49dbf659b3c4062,Codex,verified_conditional_fusion,依赖目标帧MOCAP wrist SE3且P95仍高
ev-20260831-012,2026-08-31,Take03 corrected fusion左右joint median为12.94和13.19mm,ds-20260829-take002,json,outputs/mocap_root_fusion_strict25/03_211139_Take_002_mocap_root_fused_glove_holdout_from_Take_000.metrics.json,gt_calib_viz.py,run-20260831-mocap-root-fusion,outputs/mocap_root_fusion_strict25/03_211139_Take_002_mocap_root_fused_glove_holdout_from_Take_000.metrics.json,35be7205c9d71f9ba8986e442fefab7c21957a7b498b788da0c2ceaa6ac672d5,Codex,verified_conditional_fusion,依赖目标帧MOCAP wrist SE3且P95仍高
ev-20260831-013,2026-08-31,三Take corrected fusion comparison图全部由v2 strict metrics重算,ds-20260829-take000|ds-20260829-take001|ds-20260829-take002,svg,outputs/mocap_root_fusion_strict25/fusion_comparison_overview.svg,metrics-derived-svg,run-20260831-mocap-root-fusion,outputs/mocap_root_fusion_strict25/*.metrics.json,e57b5b5fea0f6f2a192b6d75fc7de56fe1efacfcc6705de719ee71c394f5a469,Codex,verified,指标为MOCAP wrist条件化articulation一致性
ev-20260831-014,2026-08-31,Take01 exposure-corrected fusion profile可冻结复用,ds-20260829-take000,json,outputs/mocap_root_fusion_strict25/01_210814_Take_000_mocap_root_fusion_registration_profile.json,gt_calib_viz.py,run-20260831-mocap-root-fusion,outputs/mocap_root_fusion_strict25/01_210814_Take_000_mocap_root_fused_glove_calibration_fit.metrics.json,af5e110231d49bf6fc68a178d2d26927ecd895248b2521366b6e300422f2ee46,Codex,verified_conditional_fusion,profile明确禁止旧poll-time语义
ev-20260831-015,2026-08-31,旧poll-time派生产物已明确标为不可用于当前同步结论,ds-20260829-take000|ds-20260829-take001|ds-20260829-take002,markdown,outputs/SUPERSEDED_POLL_TIME.md,manual-audit,run-20260831-clock-semantics,outputs/mocap_video_alignment_review/*.metrics.json,,Codex,superseded_poll_time,历史文件保留但不再作为当前证据
ev-20260831-016,2026-08-31,固定raw-depth camera SE3可复算且跨Take fixed-view有支持证据,00-reference|ds-20260829-take000|ds-20260829-take001|ds-20260829-take002,json,outputs/depth_calibration_audit/depth_camera_pose_audit.json,depth_calibration_audit.py,run-20260831-depth-camera-pose-audit,outputs/depth_calibration_audit/depth_camera_pose_audit.json,84db97bf136a1b30996eb09eca2b723c412485098c2d5e2a214a71390e575606,Codex,verified_depth_pose_audit,固定外参不是逐帧trajectory且color D2C仍为affine review
ev-20260831-017,2026-08-31,Take01 raw-depth自身时间戳映射1747帧且冻结SE3投影全覆盖,ds-20260829-take000,json,outputs/depth_mocap_alignment_review/01_210814_Take_000_depth_mocap_aligned_strict25.metrics.json,depth_mocap_overlay.py,run-20260831-depth-mocap-overlay,outputs/depth_mocap_alignment_review/01_210814_Take_000_depth_mocap_aligned_strict25.metrics.json,3007157985c55a9ba99693514fd19c2bcbfd35d99a481a08bfa7ae5f0db9ec33,Codex,verified_depth_projection_contract,nonzero depth coverage不是skeleton-to-surface accuracy
ev-20260831-018,2026-08-31,Take02 raw-depth自身时间戳映射1804帧且冻结SE3投影全覆盖,ds-20260829-take001,json,outputs/depth_mocap_alignment_review/02_210955_Take_001_depth_mocap_aligned_strict25.metrics.json,depth_mocap_overlay.py,run-20260831-depth-mocap-overlay,outputs/depth_mocap_alignment_review/02_210955_Take_001_depth_mocap_aligned_strict25.metrics.json,bb35a9484c5cbf6be03d18272777605d8fea454449d1d9e046b227d3d156c8cd,Codex,verified_depth_projection_contract,nonzero depth coverage不是skeleton-to-surface accuracy
ev-20260831-019,2026-08-31,Take03 raw-depth自身时间戳映射1799帧且冻结SE3投影全覆盖,ds-20260829-take002,json,outputs/depth_mocap_alignment_review/03_211139_Take_002_depth_mocap_aligned_strict25.metrics.json,depth_mocap_overlay.py,run-20260831-depth-mocap-overlay,outputs/depth_mocap_alignment_review/03_211139_Take_002_depth_mocap_aligned_strict25.metrics.json,26f5a4b1b90c91850d631404a5b4f2d1345d0fb0664286ac6274ee4cb138111d,Codex,verified_depth_projection_contract,nonzero depth coverage不是skeleton-to-surface accuracy
ev-20260831-020,2026-08-31,Take01逐帧depth frame map含1747个连续source与MOCAP bracket映射,ds-20260829-take000,csv,outputs/depth_mocap_alignment_review/01_210814_Take_000_depth_mocap_aligned_strict25.alignment.csv,depth_mocap_overlay.py,run-20260831-depth-mocap-overlay,outputs/depth_mocap_alignment_review/01_210814_Take_000_depth_mocap_aligned_strict25.metrics.json,0a035577b8b4ae3ba4773009f6c75909a5c83705aba6d6830de3cef6661b4912,Codex,verified_frame_complete_depth_mapping,额外尾部depth保持unmatched且无硬件TTL
ev-20260831-021,2026-08-31,Take02逐帧depth frame map含1804个连续source与MOCAP bracket映射,ds-20260829-take001,csv,outputs/depth_mocap_alignment_review/02_210955_Take_001_depth_mocap_aligned_strict25.alignment.csv,depth_mocap_overlay.py,run-20260831-depth-mocap-overlay,outputs/depth_mocap_alignment_review/02_210955_Take_001_depth_mocap_aligned_strict25.metrics.json,d8224ecd9eeaecaa2717592baff19c4db76649bf8b71ad71725151b5fc714ab6,Codex,verified_frame_complete_depth_mapping,depth与RGB同clock-domain只有经验支持且无硬件TTL
ev-20260831-022,2026-08-31,Take03逐帧depth frame map含1799个连续source与MOCAP bracket映射,ds-20260829-take002,csv,outputs/depth_mocap_alignment_review/03_211139_Take_002_depth_mocap_aligned_strict25.alignment.csv,depth_mocap_overlay.py,run-20260831-depth-mocap-overlay,outputs/depth_mocap_alignment_review/03_211139_Take_002_depth_mocap_aligned_strict25.metrics.json,f3d0ec1ad9fb620e1ad791ca21369cde7cc529d7fd8ac11781514576b50c228e,Codex,verified_frame_complete_depth_mapping,depth与RGB同clock-domain只有经验支持且无硬件TTL
ev-20260831-023,2026-08-31,Take01 raw-depth MOCAP H264完整解码1747帧,ds-20260829-take000,video,outputs/depth_mocap_alignment_review/01_210814_Take_000_depth_mocap_aligned_strict25_h264.mp4,depth_mocap_overlay.py+ffmpeg,run-20260831-depth-mocap-overlay,outputs/depth_mocap_alignment_review/01_210814_Take_000_depth_mocap_aligned_strict25.metrics.json,b45792b9a9635e5cf0f8029487598037591601c111044071ed597eb5666dcaba,Codex,verified_full_decode_depth_review,可视叠加与nonzero coverage都不是独立空间GT
ev-20260831-024,2026-08-31,Take02 raw-depth MOCAP H264完整解码1804帧,ds-20260829-take001,video,outputs/depth_mocap_alignment_review/02_210955_Take_001_depth_mocap_aligned_strict25_h264.mp4,depth_mocap_overlay.py+ffmpeg,run-20260831-depth-mocap-overlay,outputs/depth_mocap_alignment_review/02_210955_Take_001_depth_mocap_aligned_strict25.metrics.json,9a75dbce2ccc1b7d21023b7d1686f03201e47caceb16ad7124f509c12e3264e8,Codex,verified_full_decode_depth_review,可视叠加与nonzero coverage都不是独立空间GT
ev-20260831-025,2026-08-31,Take03 raw-depth MOCAP H264完整解码1799帧,ds-20260829-take002,video,outputs/depth_mocap_alignment_review/03_211139_Take_002_depth_mocap_aligned_strict25_h264.mp4,depth_mocap_overlay.py+ffmpeg,run-20260831-depth-mocap-overlay,outputs/depth_mocap_alignment_review/03_211139_Take_002_depth_mocap_aligned_strict25.metrics.json,5625ecef2f88a10e988ff6350c9c403d0e61a033b260d6607bc59d2ab16e3404,Codex,verified_full_decode_depth_review,可视叠加与nonzero coverage都不是独立空间GT
ev-20260831-026,2026-08-31,Take01后侧腕模块proxy已显示且原21点未修改,ds-20260829-take000,json,outputs/mocap_video_rear_mount_review/01_210814_Take_000_mocap_video_aligned_strict25.metrics.json,mocap_video_overlay.py,run-20260831-mocap-rear-mount-review,outputs/mocap_video_rear_mount_review/01_210814_Take_000_mocap_video_aligned_strict25.metrics.json,1c28f72a7ed0ddc0db1430b8ca940ea93738a7344a71abd5a324de8f4fcb1fca,Codex,verified_visualization_only_proxy,proxy不是测得的MOCAP关节或GT
ev-20260831-027,2026-08-31,Take02后侧腕模块proxy已显示且原21点未修改,ds-20260829-take001,json,outputs/mocap_video_rear_mount_review/02_210955_Take_001_mocap_video_aligned_strict25.metrics.json,mocap_video_overlay.py,run-20260831-mocap-rear-mount-review,outputs/mocap_video_rear_mount_review/02_210955_Take_001_mocap_video_aligned_strict25.metrics.json,eb8a70a6eee6dda023ddcd47e7b237a728db1126797256b2b977bdc90d9a6168,Codex,verified_visualization_only_proxy,proxy不是测得的MOCAP关节或GT
ev-20260831-028,2026-08-31,Take03后侧腕模块proxy已显示且原21点未修改,ds-20260829-take002,json,outputs/mocap_video_rear_mount_review/03_211139_Take_002_mocap_video_aligned_strict25.metrics.json,mocap_video_overlay.py,run-20260831-mocap-rear-mount-review,outputs/mocap_video_rear_mount_review/03_211139_Take_002_mocap_video_aligned_strict25.metrics.json,0430bfb229be1081083a80d1ffddf9cc3d8cf523e7d41d3099b4644aa08edd0e,Codex,verified_visualization_only_proxy,proxy不是测得的MOCAP关节或GT
ev-20260831-029,2026-08-31,Take01 rear-proxy H264完整解码1748帧,ds-20260829-take000,video,outputs/mocap_video_rear_mount_review/01_210814_Take_000_mocap_video_aligned_strict25_h264.mp4,mocap_video_overlay.py+ffmpeg,run-20260831-mocap-rear-mount-review,outputs/mocap_video_rear_mount_review/01_210814_Take_000_mocap_video_aligned_strict25.metrics.json,431a0b8849311de98e60e6dc5ee679763ab4f5955c5cf25509142ccbfededf1b,Codex,verified_full_decode_visualization,额外圆点是VIZ-only proxy
ev-20260831-030,2026-08-31,Take02 rear-proxy H264完整解码1805帧,ds-20260829-take001,video,outputs/mocap_video_rear_mount_review/02_210955_Take_001_mocap_video_aligned_strict25_h264.mp4,mocap_video_overlay.py+ffmpeg,run-20260831-mocap-rear-mount-review,outputs/mocap_video_rear_mount_review/02_210955_Take_001_mocap_video_aligned_strict25.metrics.json,7a141794217dd773c1a7b4c51d21980210c078047edee0e260013c9acc968093,Codex,verified_full_decode_visualization,额外圆点是VIZ-only proxy
ev-20260831-031,2026-08-31,Take03 rear-proxy H264完整解码1800帧,ds-20260829-take002,video,outputs/mocap_video_rear_mount_review/03_211139_Take_002_mocap_video_aligned_strict25_h264.mp4,mocap_video_overlay.py+ffmpeg,run-20260831-mocap-rear-mount-review,outputs/mocap_video_rear_mount_review/03_211139_Take_002_mocap_video_aligned_strict25.metrics.json,c3d9dc519a99efe56d52047b49120b25ab432efb2f8fdf3c1d96d69aec7c12da,Codex,verified_full_decode_visualization,额外圆点是VIZ-only proxy
ev-20260831-032,2026-08-31,24个held-out RGB帧复现raw rear-proxy与Z37三列对照,ds-20260829-take000|ds-20260829-take001|ds-20260829-take002,json,outputs/mocap_wrist_semantics_audit/summary.json,mocap_world_origin_audit.py,run-20260831-mocap-wrist-semantics,outputs/mocap_wrist_semantics_audit/summary.json,356d4604695a416e43ddcec62f8cdeadd4094b8a5186fcbe365d8a93e85ffea5,Codex,verified_reproducible_visual_audit,没有独立标注module center或pixel GT
ev-20260831-033,2026-08-31,903个raw depth帧反对全局Z37并支持保留21点加rear proxy,ds-20260829-take000|ds-20260829-take001|ds-20260829-take002,json,outputs/mocap_wrist_depth_audit/depth_audit.json,mocap_wrist_depth_audit.py,run-20260831-mocap-wrist-depth-audit,outputs/mocap_wrist_depth_audit/depth_audit.json,5c85589ef88fd98d363cfcb1c1ccb4cdee31c3de3e9efb3e4012021206ff7e1d,Codex,verified_visible_surface_consistency_not_gt,depth是首个可见表面且proxy不是实测rigid body
